jdk-openjdk 23.0.2.u7-1
jetbrains-toolbox 2.5.3.37797-1
jfsutils 1.1.15-9
jq 1.7.1-2
jre17-openjdk 17.0.14.u7-1
js115 115.18.0-1
js128 128.6.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
karchive 6.10.0-1
kauth 6.10.0-1
kauth5 5.116.0-1
kbd 2.7.1-1
kbookmarks 6.10.0-1
kcmutils 6.10.0-1
kcodecs 6.10.0-1
kcolorscheme 6.10.0-1
kcompletion 6.10.0-1
kconfig 6.10.0-1
kconfigwidgets 6.10.0-1
kcoreaddons 6.10.0-1
kcoreaddons5 5.116.0-1
kcrash 6.10.0-1
kdbusaddons 6.10.0-1
kde-cli-tools 6.2.5-1
kdesu 6.10.0-1
kdnssd 6.10.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.12.2-1
keyutils 1.6.3-3
kfilemetadata 6.10.0-1
kglobalaccel 6.10.0-1
kguiaddons 6.10.0-1
khal 0.11.3-5
ki18n 6.10.0-1
kiconthemes 6.10.0-1
kidletime 6.10.0-1
kio 6.10.0-1
kio-extras 24.12.2-1
kirigami 6.10.0-1
kirigami-addons 1.7.0-1
kitemmodels 6.10.0-1
kitemmodels5 5.116.0-1
kitemviews 6.10.0-1
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kjobwidgets 6.10.0-1
kmod 33-3
knewstuff 6.10.0-1
knotifications 6.10.0-1
knotifyconfig 6.10.0-1
konsole 24.12.2-1
kpackage 6.10.0-1
kparts 6.10.0-1
kpty 6.10.0-1
krb5 1.21.3-1
kservice 6.10.0-1
kstatusnotifieritem 6.10.0-1
ksvg 6.10.0-1
ktextwidgets 6.10.0-1
ktorrent 24.12.2-1
kuserfeedback 6.10.0-1
kvantum 1.1.3-1
kvantum-manjaro 0.13.5+5+g0179d45-4
kvantum-qt5 1.1.3-1
kwallet 6.10.0-1
kwidgetsaddons 6.10.0-1
kwindowsystem 6.10.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.10.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lazygit 0.45.2-1
lcms2 2.16-1
ldb 2:4.21.3-1
lensfun 1:0.3.4-5
less 1:668-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.12.1-0
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.6.4-1
lib32-gcc-libs 14.2.1+r730+gc061ad5a36ba-1
lib32-glibc 2.41+r2+g0a7c7a3e283a-1
lib32-icu 75.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.71-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.6-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.64.0-1
lib32-libnghttp3 1.7.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.0-2
lib32-libtasn1 4.19.0-2
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.2-1
lib32-libx11 1.8.11-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxml2 2.13.5-1
lib32-libxshmfence 1.3.2-2
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:24.3.4-1
lib32-ncurses 6.5-1
lib32-nspr 4.36-1
lib32-nss 3.108-1
lib32-nvidia-utils 550.144.03-1
lib32-openssl 1:3.4.0-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.6.1-1
lib32-spirv-tools 2024.4.rc2-1
lib32-sqlite 3.48.0-2
lib32-systemd 257.2-1
lib32-vulkan-icd-loader 1.4.303-1
lib32-vulkan-intel 1:24.3.4-1
lib32-vulkan-nouveau 1:24.3.4-1
lib32-vulkan-radeon 1:24.3.4-1
lib32-wayland 1.23.1-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.6.4-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.6-1
libabw 0.1.3-4
libadwaita 1:1.6.4-1
libaio 0.3.113-3
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libastal-4-git r718.897c6d8-1
libastal-apps-git r718.897c6d8-1
libastal-auth-git r718.897c6d8-1
libastal-battery-git r718.897c6d8-1
libastal-bluetooth-git r718.897c6d8-1
libastal-cava-git r718.897c6d8-1
libastal-git r718.897c6d8-1
libastal-gjs-git r718.897c6d8-1
libastal-greetd-git r718.897c6d8-1
libastal-hyprland-git r718.897c6d8-1
libastal-io-git r718.897c6d8-1
libastal-meta 1-8
libastal-mpris-git r718.897c6d8-1
libastal-network-git r718.897c6d8-1
libastal-notifd-git r718.897c6d8-1
libastal-powerprofiles-git r718.897c6d8-1
libastal-river-git r718.897c6d8-1
libastal-tray-git r718.897c6d8-1
libastal-wireplumber-git r718.897c6d8-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.1.1-2
libavtp 0.2.0-3
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libb64 1.2.1-5
libblockdev 3.2.1-3
libblockdev-crypto 3.2.1-3
libblockdev-fs 3.2.1-3
libblockdev-loop 3.2.1-3
libblockdev-mdraid 3.2.1-3
libblockdev-nvme 3.2.1-3
libblockdev-part 3.2.1-3
libblockdev-swap 3.2.1-3
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcava 0.10.3-1
libcbor 0.11.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-1
libcloudproviders 0.3.6-1
libcmis 0.6.2-2
libcolord 1.4.7-2
libcue 2.3.0-1
libcups 2:2.4.11-2
libcupsfilters 2.1.0-3
libcurl-gnutls 8.12.1-0
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
